reference_period,type_of_service,aggregation_level,state,county,state_fips,county_fips,number_of_fee_for_service_beneficiaries,number_of_providers,average_number_of_users_per_provider,percentage_of_users_out_of_ffs_beneficiaries,number_of_users,average_number_of_providers_per_county,number_of_dual_eligible_users,percentage_of_dual_eligible_users_out_of_total_users,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries,total_payment,moratorium,number_of_fee_for_service_beneficiaries_dual_color,number_of_fee_for_service_beneficiaries_description,number_of_providers_dual_color,number_of_providers_description,average_number_of_users_per_provider_dual_color,average_number_of_users_per_provider_description,percentage_of_users_out_of_ffs_beneficiaries_dual_color,percentage_of_users_out_of_ffs_beneficiaries_description,number_of_users_dual_color,number_of_users_description,average_number_of_providers_per_county_dual_color,average_number_of_providers_per_county_description,number_of_dual_eligible_users_dual_color,number_of_dual_eligible_users_description,percentage_of_dual_eligible_users_out_of_total_users_dual_color,percentage_of_dual_eligible_users_out_of_total_users_description,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_dual_color,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_description,total_payment_dual_color,total_payment_description,number_of_fee_for_service_beneficiaries_change,number_of_providers_change,average_number_of_users_per_provider_change,percentage_of_users_out_of_ffs_beneficiaries_change,number_of_users_change,average_number_of_providers_per_county_change,number_of_dual_eligible_users_change,percentage_of_dual_eligible_users_out_of_total_users_change,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_change,total_payment_change
"2021-04-01 to 2022-03-31","Ambulance (Emergency & Non-Emergency)",COUNTY,MI,WAYNE,26,163,"168,751",67,310.91,12.34%,"20,831",67,"8,989",43.15%,20.78%,"$18,280,682.22",No,"BLUE 5","Extreme Values (More than 22,159 Beneficiaries)","BLUE 5","Extreme Values (More than 20 Providers)","BLUE 5","Extreme Values (More than 262.04 Users)","BLUE 3","Third Lowest 25% (11.19% - 12.80% of Users)","BLUE 5","Extreme Values (More than 2,613 Users)","BLUE 5","Extreme Values (More than 20.49 Providers)","BLUE 5","Extreme Values (More than 642 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (30.09% - 48.44% of Total Users)","BLUE 3","Third Lowest 25% (20.28% - 22.75% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,375,067.32 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Ambulance (Emergency)",COUNTY,MI,WAYNE,26,163,"168,751",65,280.88,10.82%,"18,257",65,"7,943",43.51%,18.36%,"$12,365,846.20",No,"BLUE 5","Extreme Values (More than 22,257 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 4","Top 25% Excl. Extreme Values (176.00 - 343.99 Users)","BLUE 3","Third Lowest 25% (10.08% - 11.54% of Users)","BLUE 5","Extreme Values (More than 2,383 Users)","BLUE 5","Extreme Values (More than 14.49 Providers)","BLUE 5","Extreme Values (More than 611 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (30.77% - 49.42% of Total Users)","BLUE 2","Second Lowest 25% (15.61% - 18.64% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,682,018.37 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Ambulance (Non-Emergency)",COUNTY,MI,WAYNE,26,163,"168,751",67,142.85,5.67%,"9,571",67,"4,427",46.25%,10.24%,"$5,819,371.52",No,"BLUE 5","Extreme Values (More than 23,543 Beneficiaries)","BLUE 5","Extreme Values (More than 22 Providers)","BLUE 5","Extreme Values (More than 87.88 Users)","BLUE 4","Top 25% Excl. Extreme Values (4.94% - 9.00% of Users)","BLUE 5","Extreme Values (More than 881 Users)","BLUE 5","Extreme Values (More than 22.99 Providers)","BLUE 5","Extreme Values (More than 262 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (33.82% - 54.54% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (10.00% - 16.91% of Total FFS Beneficiaries","BLUE 5","Extreme Values (More than $665,714.88 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Cardiac Rehabilitation Program",COUNTY,MI,WAYNE,26,163,"168,930",13,58.85,0.45%,765,13,117,15.29%,0.27%,"$3,858,471.14",No,"BLUE 5","Extreme Values (More than 34,402 Beneficiaries)","BLUE 5","Extreme Values (More than 3 Providers)","BLUE 4","Top 25% Excl. Extreme Values (54.00 - 100.49 Users)","BLUE 2","Second Lowest 25% (0.39% - 0.56% of Users)","BLUE 5","Extreme Values (More than 173 Users)","BLUE 5","Extreme Values (More than 3.49 Providers)","BLUE 5","Extreme Values (More than 52 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (13.95% - 25.96% of Total Users)","BLUE 2","Second Lowest 25% (0.20% - 0.35% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,207,255.10 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Chiropractic Services",COUNTY,MI,WAYNE,26,163,"168,751",158,33.35,3.12%,"5,269",158,584,11.08%,1.35%,"$2,060,841.07",No,"BLUE 5","Extreme Values (More than 23,020 Beneficiaries)","BLUE 5","Extreme Values (More than 24 Providers)","BLUE 1","Lowest 25% (Less than 36.00 Users)","BLUE 2","Second Lowest 25% (2.69% - 4.27% of Users)","BLUE 5","Extreme Values (More than 1,183 Users)","BLUE 5","Extreme Values (More than 24.49 Providers)","BLUE 5","Extreme Values (More than 111 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (10.19% - 18.62% of Total Users","BLUE 1","Lowest 25% (Less than 1.60% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $309,794.01 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Clinical Laboratory (Billing Independently)",COUNTY,MI,WAYNE,26,163,"168,751",166,268.25,26.39%,"44,530",166,"17,219",38.67%,39.81%,"$21,512,277.85",No,"BLUE 5","Extreme Values (More than 21,898 Beneficiaries)","BLUE 5","Extreme Values (More than 55 Providers)","BLUE 4","Top 25% Excl. Extreme Values (150.03 - 285.29 Users)","BLUE 2","Second Lowest 25% (20.69% - 35.54% of Users)","BLUE 5","Extreme Values (More than 8,371 Users)","BLUE 5","Extreme Values (More than 55.49 Providers)","BLUE 5","Extreme Values (More than 1,260 Dual Eligible Users)","BLUE 5","Extreme Values (More than 32.70% of Total Users)","BLUE 3","Third Lowest 25% (39.72% - 53.17% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,376,290.14 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31",Dialysis,COUNTY,MI,WAYNE,26,163,"168,930",67,38.21,1.52%,"2,560",67,"1,407",54.96%,3.27%,"$59,880,752.03",No,"BLUE 5","Extreme Values (More than 30,030 Beneficiaries)","BLUE 5","Extreme Values (More than 5 Providers)","BLUE 3","Third Lowest 25% (32.47 - 42.24 Users)","BLUE 4","Top 25% Excl. Extreme Values (0.98% - 1.65% of Users)","BLUE 5","Extreme Values (More than 207 Users)","BLUE 5","Extreme Values (More than 5.99 Providers)","BLUE 5","Extreme Values (More than 125 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (45.36% - 69.34% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (3.11% - 5.43% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $4,913,913.18 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Federally Qualified Health Center (FQHC)",COUNTY,MI,WAYNE,26,163,"168,930",30,83.53,1.48%,"2,506",30,"1,704",68.00%,3.96%,"$1,053,342.98",No,"BLUE 5","Extreme Values (More than 26,727 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 3","Third Lowest 25% (77.25 - 132.99 Users)","BLUE 2","Second Lowest 25% (1.43% - 3.41% of Users)","BLUE 5","Extreme Values (More than 1,297 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 537 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (46.43% - 78.12% of Total Users)","BLUE 1","Lowest 25% (Less than 6.09% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $628,709.88 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Home Health",COUNTY,MI,WAYNE,26,163,"168,930",194,86.78,9.97%,"16,835",194,"6,576",39.06%,15.28%,"$81,360,339.75",No,"BLUE 5","Extreme Values (More than 22,852 Beneficiaries)","BLUE 5","Extreme Values (More than 16 Providers)","BLUE 3","Third Lowest 25% (69.42 - 125.71 Users)","BLUE 4","Top 25% Excl. Extreme Values (8.41% - 13.50% of Users)","BLUE 5","Extreme Values (More than 1,656 Users)","BLUE 5","Extreme Values (More than 16.99 Providers)","BLUE 5","Extreme Values (More than 329 Dual Eligible Users)","BLUE 5","Extreme Values (More than 38.18% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (11.86% - 19.05% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $8,850,275.56 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31",Hospice,COUNTY,MI,WAYNE,26,163,"168,930",45,80.40,2.14%,"3,618",45,"1,023",28.28%,2.38%,"$40,078,495.76",No,"BLUE 5","Extreme Values (More than 23,540 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 4","Top 25% Excl. Extreme Values (72.18 - 130.93 Users)","BLUE 2","Second Lowest 25% (2.03% - 2.46% of Users)","BLUE 5","Extreme Values (More than 601 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 132 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (24.37% - 41.61% of Total Users)","BLUE 1","Lowest 25% (Less than 2.58% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $7,688,099.94 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Independent Diagnostic Testing Facility Pt A",COUNTY,MI,WAYNE,26,163,"168,930",83,973.75,47.84%,"80,821",83,"22,162",27.42%,51.49%,"$209,038,869.93",No,"BLUE 5","Extreme Values (More than 21,864 Beneficiaries)","BLUE 5","Extreme Values (More than 36 Providers)","BLUE 5","Extreme Values (More than 621.42 Users)","BLUE 3","Third Lowest 25% (44.68% - 53.05% of Users)","BLUE 5","Extreme Values (More than 11,114 Users)","BLUE 5","Extreme Values (More than 36.99 Providers)","BLUE 5","Extreme Values (More than 1,579 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (17.51% - 29.67% of Total Users)","BLUE 3","Third Lowest 25% (47.00% - 55.22% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $29,108,384.78 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Independent Diagnostic Testing Facility Pt B",COUNTY,MI,WAYNE,26,163,"168,751",43,156.67,3.99%,"6,737",43,"2,325",34.51%,5.38%,"$2,335,688.32",No,"BLUE 5","Extreme Values (More than 22,778 Beneficiaries)","BLUE 5","Extreme Values (More than 24 Providers)","BLUE 5","Extreme Values (More than 123.51 Users)","BLUE 2","Second Lowest 25% (3.60% - 4.80% of Users)","BLUE 5","Extreme Values (More than 1,299 Users)","BLUE 5","Extreme Values (More than 24.49 Providers)","BLUE 5","Extreme Values (More than 206 Dual Eligible Users)","BLUE 5","Extreme Values (More than 31.24% of Total Users)","BLUE 3","Third Lowest 25% (5.12% - 6.99% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $415,659.45 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Long-Term Care Hospitals",COUNTY,MI,WAYNE,26,163,"168,930",7,65.00,0.27%,455,7,234,51.43%,0.54%,"$23,542,888.93",No,"BLUE 5","Extreme Values (More than 77,072 Beneficiaries)","BLUE 5","Extreme Values (More than 2 Providers)","BLUE 4","Top 25% Excl. Extreme Values (51.50 - 95.74 Users)","BLUE 3","Third Lowest 25% (0.19% - 0.37% of Users)","BLUE 5","Extreme Values (More than 114 Users)","BLUE 5","Extreme Values (More than 2.49 Providers)","BLUE 5","Extreme Values (More than 76 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (41.18% - 67.00% of Total Users)","BLUE 2","Second Lowest 25% (0.33% - 0.57% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $5,453,879.77 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31",Neurology,COUNTY,MI,WAYNE,26,163,"169,542",75,45.67,2.02%,"3,425",75,"1,427",41.66%,3.30%,"$686,505.93",No,"BLUE 5","Extreme Values (More than 28,849 Beneficiaries)","BLUE 5","Extreme Values (More than 7 Providers)","BLUE 2","Second Lowest 25% (38.00 - 48.99 Users)","BLUE 4","Top 25% Excl. Extreme Values (1.26% - 2.03% of Users)","BLUE 5","Extreme Values (More than 302 Users)","BLUE 5","Extreme Values (More than 7.49 Providers)","BLUE 5","Extreme Values (More than 109 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (25.00% - 43.37% of Total Users)","BLUE 5","Extreme Values (More than 3.26% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $44,096.42 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31",Ophthalmology,COUNTY,MI,WAYNE,26,163,"168,751",442,102.58,26.87%,"45,341",442,"10,091",22.26%,23.33%,"$28,781,429.20",No,"BLUE 5","Extreme Values (More than 21,898 Beneficiaries)","BLUE 5","Extreme Values (More than 92 Providers)","BLUE 4","Top 25% Excl. Extreme Values (81.15 - 144.83 Users)","BLUE 1","Lowest 25% (Less than 28.17% of Users)","BLUE 5","Extreme Values (More than 7,212 Users)","BLUE 5","Extreme Values (More than 92.99 Providers)","BLUE 5","Extreme Values (More than 724 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (13.61% - 24.00% of Total Users)","BLUE 2","Second Lowest 25% (20.82% - 23.91% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $4,243,139.54 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Physical & Occupational Therapy",COUNTY,MI,WAYNE,26,163,"168,751",447,25.59,6.78%,"11,438",447,"2,888",25.25%,6.68%,"$13,772,329.93",No,"BLUE 5","Extreme Values (More than 22,718 Beneficiaries)","BLUE 5","Extreme Values (More than 50 Providers)","BLUE 1","Lowest 25% (Less than 29.44 Users)","BLUE 3","Third Lowest 25% (6.12% - 8.91% of Users)","BLUE 5","Extreme Values (More than 1,790 Users)","BLUE 5","Extreme Values (More than 50.99 Providers)","BLUE 5","Extreme Values (More than 220 Dual Eligible Users)","BLUE 5","Extreme Values (More than 24.88% of Total Users)","BLUE 3","Third Lowest 25% (4.90% - 6.85% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,593,945.11 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Podiatry Services",COUNTY,MI,WAYNE,26,163,"169,242",279,107.16,17.67%,"29,897",279,"10,872",36.36%,25.13%,"$7,752,313.58",No,"BLUE 5","Extreme Values (More than 22,393 Beneficiaries)","BLUE 5","Extreme Values (More than 30 Providers)","BLUE 4","Top 25% Excl. Extreme Values (95.76 - 180.88 Users)","BLUE 4","Top 25% Excl. Extreme Values (11.74% - 18.98% of Users)","BLUE 5","Extreme Values (More than 2,436 Users)","BLUE 5","Extreme Values (More than 30.49 Providers)","BLUE 5","Extreme Values (More than 462 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (24.74% - 42.51% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (17.58% - 28.99% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $478,557.34 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Preventive Health Services",COUNTY,MI,WAYNE,26,163,"168,751","1,948",46.39,53.55%,"90,368","1,948.00","24,679",27.31%,57.06%,"$15,111,570.78",No,"BLUE 5","Extreme Values (More than 21,899 Beneficiaries)","BLUE 5","Extreme Values (More than 246 Providers)","BLUE 3","Third Lowest 25% (45.76 - 58.49 Users)","BLUE 2","Second Lowest 25% (46.84% - 55.28% of Users)","BLUE 5","Extreme Values (More than 13,051 Users)","BLUE 5","Extreme Values (More than 246.99 Providers)","BLUE 5","Extreme Values (More than 1,525 Dual Eligible Users)","BLUE 5","Extreme Values (More than 26.95% of Total Users)","BLUE 3","Third Lowest 25% (49.80% - 57.07% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,131,217.61 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31",Psychotherapy,COUNTY,MI,WAYNE,26,163,"168,751",404,33.12,7.93%,"13,380",404,"6,908",51.63%,15.97%,"$9,684,024.36",No,"BLUE 5","Extreme Values (More than 23,273 Beneficiaries)","BLUE 5","Extreme Values (More than 27 Providers)","BLUE 1","Lowest 25% (Less than 35.97 Users)","BLUE 5","Extreme Values (More than 7.52% of Users)","BLUE 5","Extreme Values (More than 1,018 Users)","BLUE 5","Extreme Values (More than 27.49 Providers)","BLUE 5","Extreme Values (More than 364 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (43.18% - 68.10% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (13.44% - 22.88% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $565,393.99 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31",Pulmonology,COUNTY,MI,WAYNE,26,163,"168,751","1,274",29.91,22.58%,"38,105","1,274.00","11,157",29.28%,25.79%,"$6,644,828.85",No,"BLUE 5","Extreme Values (More than 21,950 Beneficiaries)","BLUE 5","Extreme Values (More than 138 Providers)","BLUE 1","Lowest 25% (Less than 37.68 Users)","BLUE 3","Third Lowest 25% (21.99% - 24.84% of Users)","BLUE 5","Extreme Values (More than 5,212 Users)","BLUE 5","Extreme Values (More than 138.99 Providers)","BLUE 5","Extreme Values (More than 707 Dual Eligible Users)","BLUE 5","Extreme Values (More than 28.56% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (24.92% - 33.28% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $855,521.39 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31","Skilled Nursing Facility",COUNTY,MI,WAYNE,26,163,"168,930",109,57.54,3.71%,"6,272",109,"2,606",41.55%,6.05%,"$95,987,786.41",No,"BLUE 5","Extreme Values (More than 23,735 Beneficiaries)","BLUE 5","Extreme Values (More than 15 Providers)","BLUE 3","Third Lowest 25% (48.75 - 63.10 Users)","BLUE 3","Third Lowest 25% (3.16% - 3.82% of Users)","BLUE 5","Extreme Values (More than 779 Users)","BLUE 5","Extreme Values (More than 15.99 Providers)","BLUE 5","Extreme Values (More than 209 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (33.36% - 54.48% of Total Users)","BLUE 2","Second Lowest 25% (4.80% - 6.13% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $13,051,293.07 )"," "," "," "," "," "," "," "," "," "," "
"2021-04-01 to 2022-03-31",Telemedicine,COUNTY,MI,WAYNE,26,163,"168,751",329,43.45,8.47%,"14,294",329,"6,162",43.11%,14.25%,"$4,060,133.98",No,"BLUE 5","Extreme Values (More than 22,603 Beneficiaries)","BLUE 5","Extreme Values (More than 17 Providers)","BLUE 2","Second Lowest 25% (42.50 - 54.19 Users)","BLUE 5","Extreme Values (More than 8.42% of Users)","BLUE 5","Extreme Values (More than 855 Users)","BLUE 5","Extreme Values (More than 17.49 Providers)","BLUE 5","Extreme Values (More than 282 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (39.69% - 66.09% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (11.28% - 19.28% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $185,016.55 )"," "," "," "," "," "," "," "," "," "," "
"2021-07-01 to 2022-06-30","Ambulance (Emergency & Non-Emergency)",COUNTY,MI,WAYNE,26,163,"168,670",69,295.23,12.08%,"20,371",69,"8,660",42.51%,20.15%,"$17,622,382.36",No,"BLUE 5","Extreme Values (More than 22,265 Beneficiaries)","BLUE 5","Extreme Values (More than 20 Providers)","BLUE 5","Extreme Values (More than 262.22 Users)","BLUE 3","Third Lowest 25% (11.06% - 12.57% of Users)","BLUE 5","Extreme Values (More than 2,558 Users)","BLUE 5","Extreme Values (More than 20.49 Providers)","BLUE 5","Extreme Values (More than 628 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (29.58% - 47.56% of Total Users)","BLUE 3","Third Lowest 25% (19.97% - 22.43% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,312,303.53 )"," "," "," "," "," "," "," "," "," "," "
"2021-07-01 to 2022-06-30","Ambulance (Emergency)",COUNTY,MI,WAYNE,26,163,"168,670",66,270.61,10.59%,"17,860",66,"7,651",42.84%,17.80%,"$12,067,679.36",No,"BLUE 5","Extreme Values (More than 22,297 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 4","Top 25% Excl. Extreme Values (176.45 - 346.11 Users)","BLUE 3","Third Lowest 25% (9.99% - 11.37% of Users)","BLUE 5","Extreme Values (More than 2,339 Users)","BLUE 5","Extreme Values (More than 14.49 Providers)","BLUE 5","Extreme Values (More than 599 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (30.16% - 48.30% of Total Users)","BLUE 2","Second Lowest 25% (15.21% - 18.31% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,666,659.63 )"," "," "," "," "," "," "," "," "," "," "
"2021-07-01 to 2022-06-30","Ambulance (Non-Emergency)",COUNTY,MI,WAYNE,26,163,"168,670",69,134.84,5.52%,"9,304",69,"4,244",45.61%,9.88%,"$5,462,788.32",No,"BLUE 5","Extreme Values (More than 23,700 Beneficiaries)","BLUE 5","Extreme Values (More than 22 Providers)","BLUE 5","Extreme Values (More than 85.87 Users)","BLUE 4","Top 25% Excl. Extreme Values (4.84% - 8.79% of Users)","BLUE 5","Extreme Values (More than 868 Users)","BLUE 5","Extreme Values (More than 22.99 Providers)","BLUE 5","Extreme Values (More than 255 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (33.33% - 53.57% of Total Users)","BLUE 3","Third Lowest 25% (7.48% - 9.89% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $623,960.82 )"," "," "," "," "," "," "," "," "," "," "
"2021-07-01 to 2022-06-30","Cardiac Rehabilitation Program",COUNTY,MI,WAYNE,26,163,"168,861",13,58.85,0.45%,765,13,124,16.21%,0.29%,"$3,612,439.21",No,"BLUE 5","Extreme Values (More than 34,402 Beneficiaries)","BLUE 5","Extreme Values (More than 3 Providers)","BLUE 4","Top 25% Excl. Extreme Values (54.50 - 101.74 Users)","BLUE 2","Second Lowest 25% (0.40% - 0.56% of Users)","BLUE 5","Extreme Values (More than 177 Users)","BLUE 5","Extreme Values (More than 3.49 Providers)","BLUE 5","Extreme Values (More than 55 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (13.44% - 24.37% of Total Users)","BLUE 2","Second Lowest 25% (0.19% - 0.33% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,184,640.03 )"," "," "," "," "," "," "," "," "," "," "
"2021-07-01 to 2022-06-30","Chiropractic Services",COUNTY,MI,WAYNE,26,163,"168,670",159,33.35,3.14%,"5,303",159,584,11.01%,1.36%,"$2,033,916.54",No,"BLUE 5","Extreme Values (More than 22,934 Beneficiaries)","BLUE 5","Extreme Values (More than 24 Providers)","BLUE 1","Lowest 25% (Less than 36.00 Users)","BLUE 2","Second Lowest 25% (2.69% - 4.22% of Users)","BLUE 5","Extreme Values (More than 1,183 Users)","BLUE 5","Extreme Values (More than 24.49 Providers)","BLUE 5","Extreme Values (More than 111 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (9.87% - 17.98% of Total Users)","BLUE 1","Lowest 25% (Less than 1.58% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $298,591.66 )"," "," "," "," "," "," "," "," "," "," "
